hjd,camera,mag,mag_err,flux,flux_err
2457877.90592,bg,14.355,0.02759,6.951,0.176
2458045.84415,bc,14.286,0.02679,7.364,0.181
2457718.65123,bg,14.261,0.02642,7.579,0.184
2457968.70944,bg,14.302,0.02691,7.298,0.181
2456982.75371,bc,14.299,0.02695,7.279,0.18
2456817.09743,bc,14.294,0.02689,7.307,0.181
2457276.83757,bg,14.362,0.02768,6.905,0.176
2458323.04096,bc,14.324,0.02726,7.113,0.178
2457589.76376,bg,14.364,0.02771,6.894,0.176
2457664.65412,bg,14.309,0.027,7.249,0.18
2457000.6972,bc,14.231,0.02614,7.749,0.186
2457982.69563,bg,14.272,0.02655,7.498,0.183
2457717.64745,bg,14.266,0.02648,7.542,0.184
2457971.65758,bg,14.245,0.02623,7.693,0.186
2456891.96069,bc,14.277,0.02668,7.424,0.182
2457980.02959,bc,14.298,0.02693,7.286,0.181
2458324.70076,bg,14.323,0.02717,7.159,0.179
2457727.55705,bg,14.267,0.02649,7.535,0.184
2458393.90708,bc,14.292,0.02686,7.321,0.181
2457363.60516,bg,14.297,0.02685,7.333,0.181
2457339.60867,bg,14.27,0.02652,7.518,0.183
2458075.63502,bg,14.332,0.02729,7.1,0.178
2457313.61426,bg,14.312,0.02703,7.233,0.18
2457576.86953,bg,14.276,0.02659,7.475,0.183
2458299.10887,bc,14.3,0.02696,7.267,0.18
2457242.05747,bc,14.304,0.02701,7.244,0.18
2457657.87598,bc,14.293,0.02687,7.315,0.181
2458408.80384,bc,14.312,0.02711,7.19,0.179
2456972.78452,bc,14.221,0.02603,7.82,0.187
2457735.59197,bg,14.266,0.02648,7.543,0.184
2457626.02618,bc,14.267,0.02656,7.493,0.183
2457696.7935,bc,14.309,0.02707,7.21,0.18
2457988.94753,bc,14.27,0.02659,7.471,0.183
2457659.61504,bg,14.24,0.02618,7.727,0.186
2458096.56211,bg,14.284,0.02669,7.419,0.182
2458044.84847,bc,14.312,0.02711,7.187,0.179
2458340.74143,bg,14.302,0.02691,7.295,0.181
2457336.69912,bg,14.293,0.0268,7.356,0.181
2458364.68925,bg,14.254,0.02634,7.627,0.185
2458032.71102,bg,14.517,0.02997,5.985,0.165
2457530.89366,bg,14.263,0.02644,7.561,0.184
2458383.59146,bg,14.185,0.02558,8.125,0.191
2457387.54297,bg,14.276,0.02659,7.473,0.183
2457998.91044,bc,14.306,0.02703,7.227,0.18
2457965.0127,bc,14.274,0.02664,7.447,0.183
2457353.64593,bg,14.294,0.02681,7.352,0.181
2457680.85393,bc,14.316,0.02716,7.164,0.179
2458054.51507,bg,14.305,0.02695,7.273,0.18
2458083.64831,bg,14.645,0.0322,5.322,0.158
2458103.58414,bg,14.294,0.02681,7.351,0.181
2458451.69707,bc,14.328,0.02731,7.086,0.178
2457606.77864,bg,14.271,0.02654,7.509,0.183
2458053.503,bg,14.612,0.0316,5.486,0.159
2457740.57816,bg,14.695,0.03317,5.079,0.155
2457567.83262,bg,14.6,0.03138,5.545,0.16
2457223.06128,bc,14.291,0.02685,7.328,0.181
2457715.67258,bg,14.301,0.0269,7.3,0.181
2457720.63884,bg,14.27,0.02652,7.513,0.183
2457278.82784,bg,14.254,0.02634,7.625,0.185
2457555.80205,bg,14.268,0.0265,7.529,0.184
2457276.96398,bc,14.482,0.02951,6.146,0.167
2457957.70086,bg,14.294,0.02681,7.347,0.181
2457325.6249,bg,14.596,0.03131,5.567,0.16
2457003.74208,bc,14.261,0.02649,7.533,0.184
2458047.84012,bc,14.334,0.02739,7.048,0.178
2458307.08564,bc,14.268,0.02657,7.488,0.183
2457362.61958,bg,14.393,0.0281,6.707,0.173
2456924.91483,bc,14.288,0.02681,7.353,0.181
2458071.76416,bc,14.288,0.02681,7.35,0.181
2457886.88787,bg,14.28,0.02664,7.448,0.183
2458066.77905,bc,14.286,0.02679,7.363,0.181
2457916.82042,bg,14.408,0.02832,6.616,0.172
2457528.8674,bg,14.293,0.0268,7.36,0.181
2458313.80691,bg,14.347,0.02748,7.0,0.177
2457934.8092,bg,14.268,0.0265,7.531,0.184
2457959.82292,bg,14.317,0.0271,7.195,0.179
2457337.65748,bg,14.266,0.02648,7.544,0.184
2457691.59939,bg,14.246,0.02624,7.684,0.186
2457371.59206,bg,14.252,0.02631,7.639,0.185
2457694.65746,bg,14.28,0.02664,7.445,0.182
2458362.98892,bc,14.592,0.03135,5.556,0.16
2456889.99445,bc,14.227,0.0261,7.773,0.187
2457704.75294,bc,14.282,0.02674,7.389,0.182
2458423.80737,bc,14.295,0.0269,7.3,0.181
2457610.77252,bg,14.651,0.03232,5.291,0.157
2457357.69686,bc,14.245,0.0263,7.647,0.185
2457970.83148,bg,14.259,0.02639,7.592,0.184
2457277.83513,bg,14.294,0.02681,7.348,0.181
2456885.97464,bc,14.222,0.02604,7.814,0.187
2458351.949,bc,14.283,0.02675,7.385,0.182
2456914.93039,bc,14.236,0.0262,7.709,0.186
2458017.88113,bc,14.277,0.02668,7.425,0.182
2458391.90294,bc,14.3,0.02696,7.272,0.18
2458087.63507,bg,14.308,0.02698,7.256,0.18
2458337.03488,bc,14.306,0.02703,7.231,0.18
2457365.60901,bg,14.303,0.02692,7.29,0.181
2457943.06954,bc,14.271,0.02661,7.466,0.183
2457295.60319,bg,14.202,0.02576,7.999,0.19
2457923.88961,bg,14.282,0.02667,7.434,0.182
2457559.78491,bg,14.509,0.02984,6.029,0.166
2457953.11032,bc,14.257,0.02644,7.56,0.184
2457550.81003,bg,14.249,0.02628,7.661,0.185
2457651.59138,bg,14.236,0.02613,7.754,0.186
2458285.11424,bc,14.274,0.02664,7.447,0.183
2457617.6243,bg,14.317,0.0271,7.196,0.179
2457545.82223,bg,14.811,0.03561,4.564,0.15
2457721.61478,bg,14.251,0.0263,7.649,0.185
2456913.93344,bc,14.276,0.02667,7.43,0.182
2457890.88212,bg,14.299,0.02687,7.314,0.181
2458320.88922,bg,14.321,0.02715,7.172,0.179
2456615.74279,bc,14.191,0.0257,8.036,0.19
2457634.79758,bg,14.247,0.02626,7.678,0.185
2458376.57339,bg,14.251,0.0263,7.65,0.185
2456829.104,bc,14.266,0.02655,7.502,0.183
2458033.51646,bg,14.324,0.02719,7.152,0.179
2457378.56729,bg,14.238,0.02615,7.736,0.186
2457608.79921,bg,14.277,0.02661,7.464,0.183
2457686.83585,bc,14.24,0.02624,7.68,0.185
2457232.03076,bc,14.274,0.02664,7.449,0.183
2458009.95434,bc,14.302,0.02698,7.257,0.18
2457604.74804,bg,14.289,0.02675,7.384,0.182
