hjd,camera,mag,mag_err,flux,flux_err
2456461.05448,ba,16.049,0.08517,1.459,0.114
2456920.06687,bb,16.191,0.0961,1.242,0.11
2456971.92226,ba,16.548,0.11792,0.922,0.1
2456496.99562,bb,16.161,0.09418,1.277,0.111
2457686.94076,bb,16.364,0.10757,1.059,0.105
2457589.97947,bb,16.601,0.124,0.851,0.097
2457231.96213,ba,16.541,0.11743,0.928,0.1
2457180.09824,bb,16.706,99.99,0.252,0.159
2457299.02867,ba,15.815,0.07209,1.811,0.12
2457612.93057,bb,16.534,0.11932,0.905,0.099
2457904.11775,bb,15.847,99.99,-0.199,0.352
2457615.93549,ba,15.96,0.07999,1.585,0.117
2457973.07731,bb,15.835,0.07495,1.723,0.119
2457275.0477,ba,16.549,0.11799,0.921,0.1
2457709.9046,ba,16.688,0.12771,0.81,0.095
2456877.01249,ba,16.477,0.11299,0.984,0.102
2457653.03588,bb,15.984,0.08334,1.502,0.115
2457039.71522,bb,15.756,0.07079,1.852,0.121
2456866.02859,ba,15.996,0.08206,1.533,0.116
2458366.06945,ba,16.142,0.09084,1.34,0.112
2457709.90436,bb,16.313,0.10413,1.11,0.106
2458348.99062,ba,16.447,0.11092,1.012,0.103
2457298.00651,bb,16.201,0.09674,1.23,0.109
2457686.94089,ba,16.595,0.12121,0.883,0.098
2456574.91469,bb,16.003,0.08446,1.476,0.115
2456869.01431,ba,16.075,0.08673,1.425,0.114
2457306.00952,ba,15.961,0.08005,1.583,0.117
2458071.91152,bb,15.984,0.08334,1.502,0.115
2457688.90977,ba,16.434,0.11003,1.024,0.104
2457360.75264,ba,16.373,0.10588,1.083,0.105
2457224.07039,ba,16.722,0.13008,0.786,0.094
2457228.04261,bb,16.181,0.09545,1.253,0.11
2457216.11444,bb,16.093,0.08991,1.359,0.112
2457931.06976,ba,15.924,0.07796,1.637,0.117
2457384.72606,bb,15.974,0.08275,1.516,0.115
2458007.08904,ba,15.907,0.07702,1.663,0.118
2457603.08626,bb,16.315,0.10426,1.108,0.106
2457992.89356,ba,16.103,0.08843,1.389,0.113
2456539.88537,bb,15.905,0.0788,1.616,0.117
2457216.11408,ba,16.005,0.08258,1.52,0.115
2457248.05649,bb,15.909,0.07903,1.61,0.117
2457967.09357,ba,16.435,0.1101,1.023,0.104
2458062.91031,bb,16.195,0.09636,1.237,0.11
2456817.09219,ba,17.032,0.15076,0.59,0.082
2457906.11054,bb,16.062,0.088,1.398,0.113
2456989.82592,ba,16.218,0.09565,1.25,0.11
2457678.93312,bb,16.265,0.10093,1.16,0.108
2457671.94476,ba,16.007,0.0827,1.517,0.115
2456642.80832,bb,16.313,0.10413,1.109,0.106
2456906.86924,ba,16.614,0.12253,0.867,0.098
2456638.72264,ba,16.252,99.99,0.396,0.242
2457372.82064,ba,15.78,0.07028,1.87,0.121
2457272.06867,ba,16.275,0.09935,1.186,0.108
